jobid,company_name,date_posted_parsed,job_title,description_text,benefits,qualifications,job_type,location,salary_formatted,company_rating,company_reviews_count,country,date_posted,description,region,company_link,company_website,domain,apply_link,srcname,url,is_expired,discovery_input
                   Position Summary: The Production Supervisor will be responsible for the safe manufacture of company products which may represent a broad diversity of manufacturing processes. Responsible for satisfying all quality and productivity requirements in the most cost effective manner by supervising multiple functions and shifts of the production team. This must be achieved while following and enforcing all safety, quality, 6s and process requirements. The supervisor will be directly involved with hiring, training, discipline, and performance reviews for the production employees. Essential Functions:  Responsible to safely manufacture a quality product while meeting customer specifications and delivery commitments  Practice and follow 6s principles daily and maintain the highest level of housekeeping excellence in the department  Ensure all safety requirements including the Cardinal Rules of Safety are followed at all times by every employee  Ensure that standard operating procedures and engineering procedures are current, accurate and followed at all times  Schedule employees to meet production needs and to ensure vacation/time off are consistent with plant policies  Provide supervision and coaching to department employees to meet or exceed daily product metrics and goals  Ensure adherence to process control procedures, operating instructions, and all quality control instructions  Manage operational metrics including TOC, variable cost, and LU targets daily, weekly, and monthly  Communicate to employees on a daily basis on production needs and general plant communications  Control quality, delivery, cost of production, work in process levels, and monitor production thru-put  Provide input on the design and installation of equipment for new manufacturing processes  Work with employees to resolve technical and personnel problems in a positive manner  Maintain and enhance a team environment and motivates the production workforce  Trouble shoots and provides cost effective resolutions to production problems  Maintain thorough knowledge of all production processes and materials  Controls cost to manufacture, work-in-process inventory, and thru-put  Other duties as assigned Required Skills:  Successful experience in related production operations in supervision and management.  Demonstrated ability to manage multiple tasks and priorities and easily adapt to changing situations and priorities.  Willing to work flexible hours including off-shifts, weekends, and holidays as needed to meet production demands.  Strong oral and written communication skills. Desired Skills:  Highly organized, self-motivated individual who can work effectively in a collaborative team environment.  Strategic vision for new and future technology to support manufacturing and operational excellence.  Continuous Improvement, Lean Manufacturing, and Six Sigma Certification.  Prefer background and experience with 6S implementation and management.  Proven ability to work hands-on with the team to achieve objectives. Experience & Education  Bachelor’s degree in Industrial
                   Position Summary: The Production Supervisor will be responsible for the safe manufacture of company products which may represent a broad diversity of manufacturing processes. Responsible for satisfying all quality and productivity requirements in the most cost effective manner by supervising multiple functions and shifts of the production team. This must be achieved while following and enforcing all safety, quality, 6s and process requirements. The supervisor will be directly involved with hiring, training, discipline, and performance reviews for the production employees. Essential Functions:  Responsible to safely manufacture a quality product while meeting customer specifications and delivery commitments  Practice and follow 6s principles daily and maintain the highest level of housekeeping excellence in the department  Ensure all safety requirements including the Cardinal Rules of Safety are followed at all times by every employee  Ensure that standard operating procedures and engineering procedures are current, accurate and followed at all times  Schedule employees to meet production needs and to ensure vacation/time off are consistent with plant policies  Provide supervision and coaching to department employees to meet or exceed daily product metrics and goals  Ensure adherence to process control procedures, operating instructions, and all quality control instructions  Manage operational metrics including TOC, variable cost, and LU targets daily, weekly, and monthly  Communicate to employees on a daily basis on production needs and general plant communications  Control quality, delivery, cost of production, work in process levels, and monitor production thru-put  Provide input on the design and installation of equipment for new manufacturing processes  Work with employees to resolve technical and personnel problems in a positive manner  Maintain and enhance a team environment and motivates the production workforce  Trouble shoots and provides cost effective resolutions to production problems  Maintain thorough knowledge of all production processes and materials  Controls cost to manufacture, work-in-process inventory, and thru-put  Other duties as assigned Required Skills:  Successful experience in related production operations in supervision and management.  Demonstrated ability to manage multiple tasks and priorities and easily adapt to changing situations and priorities.  Willing to work flexible hours including off-shifts, weekends, and holidays as needed to meet production demands.  Strong oral and written communication skills. Desired Skills:  Highly organized, self-motivated individual who can work effectively in a collaborative team environment.  Strategic vision for new and future technology to support manufacturing and operational excellence.  Continuous Improvement, Lean Manufacturing, and Six Sigma Certification.  Prefer background and experience with 6S implementation and management.  Proven ability to work hands-on with the team to achieve objectives. Experience & Education  Bachelor’s degree in Industrial
  Why Rosendin?  Committed. Innovative. Engaged.  If you're looking to take career to the next level and work with some of the best and brightest in the industry, we want to hear from you. We are an organization built on integrity. We have a culture that empowers people, embraces diversity and inspires everyone to do their best. Rosendin is one of the largest electrical contractors in the United States employing over 7,000 people. We are the largest EMPLOYEE OWNED company in the industry which means you will be a company owner too and have the unique benefit of being a shareholder at a company that is experiencing tremendous growth and success which means you benefit tremendously.  YOUR NEXT OPPORTUNITY:  As the Director of Payroll you'll be an integral part of our finance team. You'll supervise a team of managers and staff of payroll and benefits professionals. In this role, you'll manage office and craft payrolls, and union benefits of a large multi-entity international construction company. This is an on-site position located in San Jose, CA.  WHAT YOU'LL DO:   Supervise and provide guidance and leadership to the field payroll manager and office payroll manager.  Ensure that payroll is paid in compliance with all Federal, State, possession or other jurisdictions tax and labor law requirements.  Ensure the timely and accurate reporting of certified payrolls, union fringe benefit reports, as well as craft and office payrolls.  Collaborate with HR to assure accurate data, streamline processes, identify integration opportunities, and provide effective communications.  Work closely with the controller, assistant controller, operations and HR in 1) understanding issues when the Company begins work in new geographical areas; 2) work closely with HR on tax issues related to per diems, relocation expenses, recruitment, and other traveling and relocation benefits; 3) changes to existing law.  Participate and understand in the maintenance, internal and external communication and day to day operations of the 401(k) and ESOP.  Engage with IT in the development of reports and the resolution of issues with Oracle. Participate in any implementation, development and migration of ERP when required.  In the event there is Merger and Acquisition activity, assist in the review and due diligence process as it relates to benefit, compensation and health and welfare issues of both the craft and office staff.  The duties and responsibilities are intended to describe the general nature and scope of work being performed by this position. This is not a complete listing and other duties will be assigned based on the positions role within the business unit.   WHAT YOU'LL NEED TO BE SUCCESSFUL:   Critical thinker and strong analytical skills  Understanding of collective bargaining agreements, preferably with a multi union entity  Understanding of qualified retirement plans including union
  Why Rosendin?  Committed. Innovative. Engaged.  If you're looking to take career to the next level and work with some of the best and brightest in the industry, we want to hear from you. We are an organization built on integrity. We have a culture that empowers people, embraces diversity and inspires everyone to do their best. Rosendin is one of the largest electrical contractors in the United States employing over 7,000 people. We are the largest EMPLOYEE OWNED company in the industry which means you will be a company owner too and have the unique benefit of being a shareholder at a company that is experiencing tremendous growth and success which means you benefit tremendously.  YOUR NEXT OPPORTUNITY:  As the Director of Payroll you'll be an integral part of our finance team. You'll supervise a team of managers and staff of payroll and benefits professionals. In this role, you'll manage office and craft payrolls, and union benefits of a large multi-entity international construction company. This is an on-site position located in San Jose, CA.  WHAT YOU'LL DO:   Supervise and provide guidance and leadership to the field payroll manager and office payroll manager.  Ensure that payroll is paid in compliance with all Federal, State, possession or other jurisdictions tax and labor law requirements.  Ensure the timely and accurate reporting of certified payrolls, union fringe benefit reports, as well as craft and office payrolls.  Collaborate with HR to assure accurate data, streamline processes, identify integration opportunities, and provide effective communications.  Work closely with the controller, assistant controller, operations and HR in 1) understanding issues when the Company begins work in new geographical areas; 2) work closely with HR on tax issues related to per diems, relocation expenses, recruitment, and other traveling and relocation benefits; 3) changes to existing law.  Participate and understand in the maintenance, internal and external communication and day to day operations of the 401(k) and ESOP.  Engage with IT in the development of reports and the resolution of issues with Oracle. Participate in any implementation, development and migration of ERP when required.  In the event there is Merger and Acquisition activity, assist in the review and due diligence process as it relates to benefit, compensation and health and welfare issues of both the craft and office staff.  The duties and responsibilities are intended to describe the general nature and scope of work being performed by this position. This is not a complete listing and other duties will be assigned based on the positions role within the business unit.   WHAT YOU'LL NEED TO BE SUCCESSFUL:   Critical thinker and strong analytical skills  Understanding of collective bargaining agreements, preferably with a multi union entity  Understanding of qualified retirement plans including union
        Adams State University is committed to providing a safe and secure environment for its students, faculty, staff and visitors, and to protecting its funds, property and other assets. Well-informed hiring decisions contribute to this effort. Therefore, Adams State University has adopted a policy on background screening for its prospective, continuing, and returning employees as well as students in certain circumstances. Offers of employment will be contingent upon the completion of an acceptable background check. The information received in response to a background check will be treated as confidential to the extent provided for by law.      Title IX of the Education Amendments of 1972 and Part 106 of the Code of Federal Regulations (CFR) prohibits discrimination on the basis of sex, including in admission and employment. Inquiries about the application of Title IX and CFR 106 to Adams State University (ASU) may be directed to ASU's Office of Equal Opportunity, Director Ana Guevara, and/or to the Assistant Secretary for Civil Rights of the Department of Education. Support resources for sexual misconduct, ASU's sexual misconduct policies, contact information for the Adams State University's Office of Equal Opportunity & Title IX, as well as a detailed procedure for filing a grievance due to discrimination on the basis of sex may be found online at      https://www.adams.edu/administration/oeo/reporting-sexual-harassment/    . These procedures also describe the University's response to reports and/or complaints of sex discrimination or sexual   harassment.      Adams State University is an Equal   Opportunity/Affirmative   Action employer. Applications are sought from all qualified persons regardless of race, color, sex, disability, and, as covered by law, veteran status. In addition, University policies prohibit discrimination on the basis of religion, national origin, ancestry, age
        Adams State University is committed to providing a safe and secure environment for its students, faculty, staff and visitors, and to protecting its funds, property and other assets. Well-informed hiring decisions contribute to this effort. Therefore, Adams State University has adopted a policy on background screening for its prospective, continuing, and returning employees as well as students in certain circumstances. Offers of employment will be contingent upon the completion of an acceptable background check. The information received in response to a background check will be treated as confidential to the extent provided for by law.      Title IX of the Education Amendments of 1972 and Part 106 of the Code of Federal Regulations (CFR) prohibits discrimination on the basis of sex, including in admission and employment. Inquiries about the application of Title IX and CFR 106 to Adams State University (ASU) may be directed to ASU's Office of Equal Opportunity, Director Ana Guevara, and/or to the Assistant Secretary for Civil Rights of the Department of Education. Support resources for sexual misconduct, ASU's sexual misconduct policies, contact information for the Adams State University's Office of Equal Opportunity & Title IX, as well as a detailed procedure for filing a grievance due to discrimination on the basis of sex may be found online at      https://www.adams.edu/administration/oeo/reporting-sexual-harassment/    . These procedures also describe the University's response to reports and/or complaints of sex discrimination or sexual   harassment.      Adams State University is an Equal   Opportunity/Affirmative   Action employer. Applications are sought from all qualified persons regardless of race, color, sex, disability, and, as covered by law, veteran status. In addition, University policies prohibit discrimination on the basis of religion, national origin, ancestry, age
   What does a successful Senior Release Engineer do?   The role of the Release Manager is to support technical release process and serve in a governance role in support of the release management process. Roughly 25% of the time will be spent outside of normal business hours include supporting releases and deploys on overnight shifts.   What will you do?    Interface with internal teams across division to be engaged in release management activities.   Implement and improve the release management process.   Execute deployment and release activities.   Lead and co-ordinate go-live activities including execution of deployment plans and check lists.   Maintain and publish a release calendar.   Evaluate release risk and develop mitigation strategy with partner teams.   Governance of deployments in lower environments as part of the risk mitigation strategy.   Validation of playbooks for manual and automated use.   Partner with deploy resources to identify and implement automation opportunities in the deploy process.   Post release evaluation and operational improvement identification.   Maintain and report release metrics.   Maintain documentation of the production control environment.   Develop and maintain operational procedure Runbooks.   Generate change discrepancy reports, following up with project teams for remediation.   Create Releases, Packages and Tasks for work assignment and tracking.   Plan, communicate and monitor release statuses. Identify and manage risks for projects as assigned.   Gain Release stakeholder consensus on release content and go/no go decisions.   Provide after-hours support to troubleshoot issues or execute deployment of Digital Channels managed services.    What will you need to have:    Bachelor’s Degree, preferably in Computer Science, Information Technology degree (or similar) or relevant work experience.   2-4 years of experience in release management.    What would be great to have:    Basic working knowledge of XML.   Understanding of ITIL framework.   Experience with Agile\Scrum Software Development Life Cycle methodologies.   Experience as part of a DevOps culture.   Working knowledge of online banking and mobile banking services and processes.   Competent in system administration (Windows preferred but other OS’s applicable).   Working knowledge of HTTP Servers.   1-2 years of experience with SQL Server.   Working knowledge of Server and Network infrastructure.   Project Management.   Strong analytical, organizational and time management skills.   Solid verbal and written communication skills.   Ability to multi-task and manage multiple projects simultaneously.   Ability to develop necessary documentation for external support organizations.   Ability to diagnose and troubleshoot problems in a methodical fashion.   Client management and relationship building skills; experience with external clients preferred.   #LI-KP1   This role is not eligible to be performed in Colorado, California, New York or Washington.   Please note that salary ranges provided for this role on external job boards are salary estimates made by outside parties and may not be accurate.   Thank you for considering employment with Fiserv. Please:     Apply using your legal name   Complete the step-by-step profile and attach your resume (either is acceptable, both are preferable).    What you should know about us:   Fiserv is a global fintech leader with 40,000-plus (and growing) associates proudly serving clients in more than 100 countries. As a FORTUNE™ 500 company, one of Fast Company’s Most Innovative Companies, and a top scorer on Bloomberg’s Gender-Equality Index, we are committed to excellence and purposeful innovation.   Our commitment to Diversity and Inclusion:   Fiserv is an Equal Opportunity Employer, and we welcome and encourage diversity in our workforce that reflects our world. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by law.   We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions
   What does a successful Senior Release Engineer do?   The role of the Release Manager is to support technical release process and serve in a governance role in support of the release management process. Roughly 25% of the time will be spent outside of normal business hours include supporting releases and deploys on overnight shifts.   What will you do?    Interface with internal teams across division to be engaged in release management activities.   Implement and improve the release management process.   Execute deployment and release activities.   Lead and co-ordinate go-live activities including execution of deployment plans and check lists.   Maintain and publish a release calendar.   Evaluate release risk and develop mitigation strategy with partner teams.   Governance of deployments in lower environments as part of the risk mitigation strategy.   Validation of playbooks for manual and automated use.   Partner with deploy resources to identify and implement automation opportunities in the deploy process.   Post release evaluation and operational improvement identification.   Maintain and report release metrics.   Maintain documentation of the production control environment.   Develop and maintain operational procedure Runbooks.   Generate change discrepancy reports, following up with project teams for remediation.   Create Releases, Packages and Tasks for work assignment and tracking.   Plan, communicate and monitor release statuses. Identify and manage risks for projects as assigned.   Gain Release stakeholder consensus on release content and go/no go decisions.   Provide after-hours support to troubleshoot issues or execute deployment of Digital Channels managed services.    What will you need to have:    Bachelor’s Degree, preferably in Computer Science, Information Technology degree (or similar) or relevant work experience.   2-4 years of experience in release management.    What would be great to have:    Basic working knowledge of XML.   Understanding of ITIL framework.   Experience with Agile\Scrum Software Development Life Cycle methodologies.   Experience as part of a DevOps culture.   Working knowledge of online banking and mobile banking services and processes.   Competent in system administration (Windows preferred but other OS’s applicable).   Working knowledge of HTTP Servers.   1-2 years of experience with SQL Server.   Working knowledge of Server and Network infrastructure.   Project Management.   Strong analytical, organizational and time management skills.   Solid verbal and written communication skills.   Ability to multi-task and manage multiple projects simultaneously.   Ability to develop necessary documentation for external support organizations.   Ability to diagnose and troubleshoot problems in a methodical fashion.   Client management and relationship building skills; experience with external clients preferred.   #LI-KP1   This role is not eligible to be performed in Colorado, California, New York or Washington.   Please note that salary ranges provided for this role on external job boards are salary estimates made by outside parties and may not be accurate.   Thank you for considering employment with Fiserv. Please:     Apply using your legal name   Complete the step-by-step profile and attach your resume (either is acceptable, both are preferable).    What you should know about us:   Fiserv is a global fintech leader with 40,000-plus (and growing) associates proudly serving clients in more than 100 countries. As a FORTUNE™ 500 company, one of Fast Company’s Most Innovative Companies, and a top scorer on Bloomberg’s Gender-Equality Index, we are committed to excellence and purposeful innovation.   Our commitment to Diversity and Inclusion:   Fiserv is an Equal Opportunity Employer, and we welcome and encourage diversity in our workforce that reflects our world. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by law.   We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions
   Annual or Hourly Compensation Range is based on full-time 40 hours per week. Ecolab in good faith anticipates it will pay within the posted range. Many factors are taken into consideration when determining the compensation for a potential new employee such as education, training, experience, work location, travel (if required), etc.   Benefits  Ecolab strives to provide comprehensive and market-competitive benefits to meet the needs of our associates and their families. Click here to see our benefits.  If you are viewing this posting on a site other than our Ecolab Career website, view our benefits at jobs.ecolab.com/working-here.     Covid-19 Vaccine Notice   Due to local mandates and customer requirements, applicants for certain customer-facing positions must be fully vaccinated (which in some situations requires a booster if eligible), unless a religious or medical accommodation is requested by the applicant and approved by Ecolab.      Americans with Disabilities Act (ADA)     Ecolab will provide reasonable accommodation (such as a qualified sign language interpreter or other personal assistance) with our application process upon request as required to comply with applicable laws. If you have a disability and require accommodation assistance in this application process, please call Ecolab Recruiting Support at (866) 841-6682 for assistance.    Our Commitment to Diversity and Inclusion  At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin
   Annual or Hourly Compensation Range is based on full-time 40 hours per week. Ecolab in good faith anticipates it will pay within the posted range. Many factors are taken into consideration when determining the compensation for a potential new employee such as education, training, experience, work location, travel (if required), etc.   Benefits  Ecolab strives to provide comprehensive and market-competitive benefits to meet the needs of our associates and their families. Click here to see our benefits.  If you are viewing this posting on a site other than our Ecolab Career website, view our benefits at jobs.ecolab.com/working-here.     Covid-19 Vaccine Notice   Due to local mandates and customer requirements, applicants for certain customer-facing positions must be fully vaccinated (which in some situations requires a booster if eligible), unless a religious or medical accommodation is requested by the applicant and approved by Ecolab.      Americans with Disabilities Act (ADA)     Ecolab will provide reasonable accommodation (such as a qualified sign language interpreter or other personal assistance) with our application process upon request as required to comply with applicable laws. If you have a disability and require accommodation assistance in this application process, please call Ecolab Recruiting Support at (866) 841-6682 for assistance.    Our Commitment to Diversity and Inclusion  At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin
           A minimum of a BS/BA degree is required (preferably Healthcare with a Biology and/or Science orientation, Marketing, Engineering, or another business-related field).       An MBA is a plus.       A minimum of 4 years total work experience is required with at least 3 years in medical device marketing or field sales organization of Medical Device, Diagnostic, Life Sciences, or Pharmaceutical sectors preferred.       Prior Orthopedic, experience is preferred, Spine experience will be a plus.       Global experience is preferred.       Strong leadership skills are important to this role. The ability to influence without authority, gain cross-functional support and drive business direction is required.       The successful candidate will have demonstrated experience building positive relationships across functions such as sales, marketing, clinical, R&D, operations, FSO and/or other key functional partners to deliver business objectives.       Must demonstrate strong customer orientation and have prior experience working with surgeon customers.       Strong communication and presentation abilities as well as effective planning and prioritization skills are required.       Analytical skills and attention to data detail are required to provide sound input into financial evaluations, forecasting, and segmentation exercises.       Successful candidates must have a consistent track record of delivering business results.       Up to 30% travel may be required for this position. Some travel may be required on weekends.           Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin
           A minimum of a BS/BA degree is required (preferably Healthcare with a Biology and/or Science orientation, Marketing, Engineering, or another business-related field).       An MBA is a plus.       A minimum of 4 years total work experience is required with at least 3 years in medical device marketing or field sales organization of Medical Device, Diagnostic, Life Sciences, or Pharmaceutical sectors preferred.       Prior Orthopedic, experience is preferred, Spine experience will be a plus.       Global experience is preferred.       Strong leadership skills are important to this role. The ability to influence without authority, gain cross-functional support and drive business direction is required.       The successful candidate will have demonstrated experience building positive relationships across functions such as sales, marketing, clinical, R&D, operations, FSO and/or other key functional partners to deliver business objectives.       Must demonstrate strong customer orientation and have prior experience working with surgeon customers.       Strong communication and presentation abilities as well as effective planning and prioritization skills are required.       Analytical skills and attention to data detail are required to provide sound input into financial evaluations, forecasting, and segmentation exercises.       Successful candidates must have a consistent track record of delivering business results.       Up to 30% travel may be required for this position. Some travel may be required on weekends.           Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin
  NOW HIRING IMMEDIATELY FOR OUR NEW RESTAURANT OPENING  CULTIVATE A BETTER WORLD  Food served fast does not have to be a typical fast-food experience. Chipotle has always done things differently, both in and out of our restaurants. We are changing the face of fast food, starting conversations, and directly supporting efforts to shift the future of farming and food. We hope you will join us as we continue to learn, evolve, and shape what comes next on our mission to make better food accessible to everyone.   THE OPPORTUNITY  At Chipotle, we've created a better place to eat and work. Many employees start just expecting a paycheck but end up with a rewarding career. We provide exceptional training and a clear career path - over 80% of our managers were promoted from Crew. We prepare real food by hand every day in our restaurants. No freezers, microwaves or can openers to be found. We welcome experienced restaurant professionals and novices alike. We'll provide the training you need to feel confident working at any station - grill, cashier, prep, salsa and expo. We take pride in our exceptional customer service and it's up to each of our team members to create the friendly atmosphere that our customers expect and enjoy. So, whether you have experience as a dishwasher, cashier, server, host, bartender, cook, prep cook, FOH/BOH or no experience at all, we're always looking for passionate and enthusiastic people to join our team. At Chipotle, you'll join a team that's committed to Cultivating A Better World. If this sounds like something you'd like to be a part of, we'd love to meet you! See more details below and apply today.   WHAT'S IN IT FOR YOU   Tuition assistance (100% coverage for select degrees or up to $5,250/year)  Free food (yes, really FREE)  Medical
  NOW HIRING IMMEDIATELY FOR OUR NEW RESTAURANT OPENING  CULTIVATE A BETTER WORLD  Food served fast does not have to be a typical fast-food experience. Chipotle has always done things differently, both in and out of our restaurants. We are changing the face of fast food, starting conversations, and directly supporting efforts to shift the future of farming and food. We hope you will join us as we continue to learn, evolve, and shape what comes next on our mission to make better food accessible to everyone.   THE OPPORTUNITY  At Chipotle, we've created a better place to eat and work. Many employees start just expecting a paycheck but end up with a rewarding career. We provide exceptional training and a clear career path - over 80% of our managers were promoted from Crew. We prepare real food by hand every day in our restaurants. No freezers, microwaves or can openers to be found. We welcome experienced restaurant professionals and novices alike. We'll provide the training you need to feel confident working at any station - grill, cashier, prep, salsa and expo. We take pride in our exceptional customer service and it's up to each of our team members to create the friendly atmosphere that our customers expect and enjoy. So, whether you have experience as a dishwasher, cashier, server, host, bartender, cook, prep cook, FOH/BOH or no experience at all, we're always looking for passionate and enthusiastic people to join our team. At Chipotle, you'll join a team that's committed to Cultivating A Better World. If this sounds like something you'd like to be a part of, we'd love to meet you! See more details below and apply today.   WHAT'S IN IT FOR YOU   Tuition assistance (100% coverage for select degrees or up to $5,250/year)  Free food (yes, really FREE)  Medical
    E  DUCATION & EXPERIENCE     Must be at least 21 years old.   Minimum high school diploma or equivalent required. Some college education is desirable.   Must have reliable transportation that is accessible without restriction. Many of our shifts or locations are not accessible by public transportation.   Must be a U.S. citizen or a foreign citizen authorized to legally work in the United States.   Must be flexible and be able to work traditional and nontraditional work hours as so determined by an event or circumstances.   These positions require excellent attendance and punctuality. Candidates must commit to being on time, must be able to work in a very independent and dynamic environment, and must ensure that all directions and instructions from Tarian and client staff are followed consistently and thoroughly.   Energetic and focused personality with a demonstrated ability to take initiative, to successfully handle and prioritize multiple competing assignments, and to effectively manage deadlines and assignments.   Professional, articulate, and able to use good independent judgment and discretion with Tarian team members, clients, client staff, and all persons encountered on client sites.   Must authorize and submit to background investigation, reference verification, and previous employer verification, and pre-employment drug screen to the extent permitted by law.   Ability to write effective and concise reports in Tarian’s mobile reporting tool.   Basic computer skills.   Ability to assess and evaluate situations effectively.   Ability to identify critical issues quickly and accurately.     Working Conditions:     Must always be alert and observant.   Must be able to occasionally lift and/or move up to 80 lbs.   Long periods of walking, standing, bending, and stooping.   Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.   Self-motivation and ability to work independent of immediate supervision.     Our Full-Time and Part-Time positions offer role specific on-the-job training, career paths, and a full range of benefits:     Medical, Dental, and Vision Insurance   Supplemental Medical Reimbursement Plans   We offer paid leave and paid time off in accordance with federal and state requirements.   Paid Holidays - The schedule of paid holidays may vary by location.   401k Plan & Free Retirement Planning Consulting   Short-term & Long-term Disability Income Protection Benefits   Life Insurance for Teammate and Family   Employee Assistance Program   Perks Discount Programs with 3
    E  DUCATION & EXPERIENCE     Must be at least 21 years old.   Minimum high school diploma or equivalent required. Some college education is desirable.   Must have reliable transportation that is accessible without restriction. Many of our shifts or locations are not accessible by public transportation.   Must be a U.S. citizen or a foreign citizen authorized to legally work in the United States.   Must be flexible and be able to work traditional and nontraditional work hours as so determined by an event or circumstances.   These positions require excellent attendance and punctuality. Candidates must commit to being on time, must be able to work in a very independent and dynamic environment, and must ensure that all directions and instructions from Tarian and client staff are followed consistently and thoroughly.   Energetic and focused personality with a demonstrated ability to take initiative, to successfully handle and prioritize multiple competing assignments, and to effectively manage deadlines and assignments.   Professional, articulate, and able to use good independent judgment and discretion with Tarian team members, clients, client staff, and all persons encountered on client sites.   Must authorize and submit to background investigation, reference verification, and previous employer verification, and pre-employment drug screen to the extent permitted by law.   Ability to write effective and concise reports in Tarian’s mobile reporting tool.   Basic computer skills.   Ability to assess and evaluate situations effectively.   Ability to identify critical issues quickly and accurately.     Working Conditions:     Must always be alert and observant.   Must be able to occasionally lift and/or move up to 80 lbs.   Long periods of walking, standing, bending, and stooping.   Specific vision abilities required by this job include close vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.   Self-motivation and ability to work independent of immediate supervision.     Our Full-Time and Part-Time positions offer role specific on-the-job training, career paths, and a full range of benefits:     Medical, Dental, and Vision Insurance   Supplemental Medical Reimbursement Plans   We offer paid leave and paid time off in accordance with federal and state requirements.   Paid Holidays - The schedule of paid holidays may vary by location.   401k Plan & Free Retirement Planning Consulting   Short-term & Long-term Disability Income Protection Benefits   Life Insurance for Teammate and Family   Employee Assistance Program   Perks Discount Programs with 3
  Pratt & Whitney is working to once again transform the future of flight—designing, building and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.   Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future.   Innovation through diversity of thought. At Pratt & Whitney, we believe diversity of thought enables creativity, innovation, and a foundation for inclusion. By fostering an inclusive culture, we accept a shared accountability and responsibility to recognize, sponsor, coach, hire and promote talent equally. We welcome our employees to be their whole - best - selves at work because trust, respect and integrity, are a part of our DNA.   At Pratt & Whitney, the difference you make is on display every day. Just look up. Are you ready to go beyond?   Job Summary:    Plan and perform the work necessary to set-up and operate various manual and automatic part treatment, heat treat, flame spray and coating equipment.   Perform work on Overhaul & Repair parts where methods and techniques are usually established, and proper tooling and/or fixturing is usually provided.   Perform braze fab prep, assembly and masking as required to meet unit needs.   2nd shift hours are: Monday - Friday 3:12 PM – 11:42 PM    Key Responsibilities:    Follow standard practices and operating procedures to perform a variety of striping, cleaning and braze fab operations, utilizing surface treatment equipment such as manual and automatic grit blasters, water jet machines and dry baking ovens.   Set up and operate automatic and manual flame spray, plating, painting and coating equipment for operations on a variety of Overhaul & Repair parts.   Set up and operate
  Pratt & Whitney is working to once again transform the future of flight—designing, building and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.   Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future.   Innovation through diversity of thought. At Pratt & Whitney, we believe diversity of thought enables creativity, innovation, and a foundation for inclusion. By fostering an inclusive culture, we accept a shared accountability and responsibility to recognize, sponsor, coach, hire and promote talent equally. We welcome our employees to be their whole - best - selves at work because trust, respect and integrity, are a part of our DNA.   At Pratt & Whitney, the difference you make is on display every day. Just look up. Are you ready to go beyond?   Job Summary:    Plan and perform the work necessary to set-up and operate various manual and automatic part treatment, heat treat, flame spray and coating equipment.   Perform work on Overhaul & Repair parts where methods and techniques are usually established, and proper tooling and/or fixturing is usually provided.   Perform braze fab prep, assembly and masking as required to meet unit needs.   2nd shift hours are: Monday - Friday 3:12 PM – 11:42 PM    Key Responsibilities:    Follow standard practices and operating procedures to perform a variety of striping, cleaning and braze fab operations, utilizing surface treatment equipment such as manual and automatic grit blasters, water jet machines and dry baking ovens.   Set up and operate automatic and manual flame spray, plating, painting and coating equipment for operations on a variety of Overhaul & Repair parts.   Set up and operate
